cc_wet,cc_dry,uc_wet,uc_dry,tree_dens,basal_area,absolute_cover,tree_height,NEAR_RANGER,NEAR_EDGE,NEAR_WATER,NEAR_URBAN,NEAR_ROAD,PATHCOST_EDGE,PATHCOST_URBAN,POINT_KDA,Point_Count
0.96,0.91,0.38,0.67,85.63,1276,10.93,19.89,3677,1010,1699,1598,6208,6746,7528,0.000802,96.84
0.92,0.91,0.43,0.26,343.09,473,16.23,11.94,6417,3668,4151,4350,8749,28597,29371,0.000849,34.23
0.93,0.74,0.83,0.74,33.27,561,1.87,8.27,3986,1100,1714,1756,5402,8239,11561,0.000588,95.17
0.95,0.87,0.8,0.76,15.84,561,0.89,9.96,5464,2424,3253,3225,6935,18271,20836,0.001126,96.36
0.94,0.79,0.42,0.7,94.35,279,2.63,7.08,4714,3884,3627,4658,8163,29703,31411,0.00043,130.82
0.92,0.9,0.65,0.43,293.34,976,28.63,13.99,2915,1840,806,2248,65,3161,3118,0.026103,743.82
NA,0.92,NA,0.13,456.13,931,42.47,15.08,2042,1538,2033,1589,377,4205,4243,0.014787,1126.71
0.92,0.65,0.29,0.43,446.69,324,14.47,9.89,2042,1231,1769,1818,1222,7987,9676,0.007275,549.14
0.93,0.65,0.39,0.83,28.94,1141,3.3,11.91,1745,711,1247,1519,1425,4053,6672,0.008956,535
0.93,0.72,0.18,0.35,169.24,1457,24.66,12.43,1484,894,1366,940,75,1419,1346,0.029821,1054.08
0.92,NA,0.86,NA,464.75,475,22.08,11.6,2635,967,953,1225,1822,8075,9166,0.006116,1624.61
0.93,0.89,0.36,0.48,245.23,528,12.95,10.45,2956,1556,1563,1768,2135,11949,12955,0.004012,338.89
0.93,0.92,0.52,0.5,173.31,451,7.82,11.26,5307,1822,3684,4816,1395,10796,15991,0.000462,127.42
0.81,0.83,0.58,0.63,57.78,1245,7.19,16.17,9617,5420,6458,7602,4658,41588,49437,0.000403,60.91
0.91,0.88,0.65,0.6,135.83,1887,25.63,15.49,11379,5138,5421,9062,2957,33162,38421,0.001423,50.99
0.92,NA,0.19,NA,15.27,1265,1.93,16.51,11836,5035,4770,9125,2223,26979,32322,0.000631,75.33
0.88,0.92,0.14,0.24,128.17,910,11.66,12.48,2972,2106,2267,2439,1600,14623,14792,0.005294,305.08
0.94,0.9,0.48,0.3,283.91,627,17.8,10.96,2561,1978,2511,2196,1066,10260,10215,0.006826,341.17
